"artist_name";"artist_id";"album_id";"album_release_date";"album_release_year";"danceability";"energy";"key";"loudness";"mode";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"track_id";"time_signature";"duration_ms";"explicit";"track_name";"track_number";"track_uri";"album_name";"key_name";"mode_name";"key_mode"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,559;0,31;10;-10,445;1;0,0338;0,881;0;0,106;0,46;119,845;"7pv3FIt9AxFME58yM1ROwZ";4;190898;FALSE;"illicit affairs";10;"spotify:track:7pv3FIt9AxFME58yM1ROwZ";"folklore";"A#";"major";"A# major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,653;0,452;4;-11,143;0;0,055;0,838;7,73e-05;0,108;0,45;83,433;"3yz88FVJQhwG2EqYHw3pkx";4;252880;FALSE;"invisible string";11;"spotify:track:3yz88FVJQhwG2EqYHw3pkx";"folklore";"E";"minor";"E minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,596;0,709;5;-8,938;0;0,0431;0,649;9,92e-06;0,114;0,533;141,978;"5sSudVJ80OUYU35dhkfGz1";4;237258;FALSE;"mad woman";12;"spotify:track:5sSudVJ80OUYU35dhkfGz1";"folklore";"F";"minor";"F minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,354;0,267;1;-13,69;1;0,0281;0,731;0,000402;0,0858;0,113;94,219;"1tcoNYqpAYXbSGMlNUl0eE";4;289749;FALSE;"epiphany";13;"spotify:track:1tcoNYqpAYXbSGMlNUl0eE";"folklore";"C#";"major";"C# major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,59;0,379;0;-8,717;1;0,0255;0,544;0;0,0983;0,467;96,029;"0x3CUvkL4jUPYVONrYUubR";4;294521;FALSE;"betty";14;"spotify:track:0x3CUvkL4jUPYVONrYUubR";"folklore";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,651;0,269;5;-12,912;1;0,0983;0,918;2,17e-05;0,0918;0,334;150,033;"6rTUr8OpU5kcSqLGL2TmyR";4;234000;FALSE;"peace";15;"spotify:track:6rTUr8OpU5kcSqLGL2TmyR";"folklore";"F";"major";"F major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,662;0,181;8;-15,065;1;0,0415;0,966;3,86e-06;0,133;0,429;118,819;"6G61EqJgoEJhWaBT34jMyW";4;220042;FALSE;"hoax";16;"spotify:track:6G61EqJgoEJhWaBT34jMyW";"folklore";"G#";"major";"G# major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,664;0,316;5;-10,345;1;0,519;0,298;2,03e-06;0,0812;0,541;92,875;"43rA71bccXFGD4C8GOpIlN";4;170640;FALSE;"I Forgot That You Existed";1;"spotify:track:43rA71bccXFGD4C8GOpIlN";"Lover";"F";"major";"F major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,552;0,702;9;-5,707;1;0,157;0,117;2,06e-05;0,105;0,564;169,994;"1BxfuPKGuaTgP7aM0Bbdwr";4;178426;FALSE;"Cruel Summer";2;"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr";"Lover";"A";"major";"A major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,359;0,543;7;-7,582;1;0,0919;0,492;1,58e-05;0,118;0,453;68,534;"1dGr1c8CrMLDpV6mPbImSI";4;221306;FALSE;"Lover";3;"spotify:track:1dGr1c8CrMLDpV6mPbImSI";"Lover";"G";"major";"G major"
